month,exit_reason,internal_note
2022-01-01,wage dissatisfaction,Đã đề xuất tăng lương cho nhân viên còn lại.
2022-02-01,seasonal factor,Điều chỉnh lịch làm việc theo mùa vụ.
2022-03-01,workload concern,Phân bổ lại công việc cho nhóm còn lại.
2022-04-01,management issues,Đã tổ chức buổi đào tạo quản lý.
2022-05-01,other,Đã ghi nhận và xem xét lý do cá nhân.
2022-06-01,wage dissatisfaction,Đang xem xét chính sách thưởng.
2022-07-01,seasonal factor,Giảm số lượng ca làm trong mùa thấp điểm.
2022-08-01,workload concern,Tuyển thêm nhân viên thời vụ.
2022-09-01,management issues,Thay đổi trưởng nhóm quản lý.
2022-10-01,other,Đã hỗ trợ nhân viên chuyển bộ phận.
2022-11-01,wage dissatisfaction,Đã khảo sát mức lương thị trường.
2022-12-01,seasonal factor,Điều chỉnh hợp đồng theo mùa.
2023-01-01,workload concern,Tăng cường đào tạo kỹ năng cho nhân viên.
2023-02-01,management issues,Đã tổ chức họp phản hồi với quản lý.
2023-03-01,other,Đã tư vấn hỗ trợ tâm lý cho nhân viên.
2023-04-01,wage dissatisfaction,Đề xuất tăng phụ cấp.
2023-05-01,seasonal factor,Giảm số lượng nhân viên tạm thời.
2023-06-01,workload concern,Phân chia lại nhiệm vụ trong nhóm.
2023-07-01,management issues,Đã thay đổi quy trình quản lý.
2023-08-01,other,Đã hỗ trợ nhân viên tìm việc mới.
2023-09-01,wage dissatisfaction,Đã xem xét lại chính sách lương.
2023-10-01,seasonal factor,Điều chỉnh số lượng nhân sự theo mùa.
2023-11-01,workload concern,Tăng cường hỗ trợ cho nhóm còn lại.
2023-12-01,management issues,Đã tổ chức đào tạo kỹ năng mềm cho quản lý.
